sensor,date,recorded
ms_p4:sensor:, 4/1/2016 3:13:57 PM,255
ms_p4:sensor:, 4/1/2016 3:14:00 PM,0
ms_p4:sensor:, 4/1/2016 3:14:58 PM,255
ms_p4:sensor:, 4/1/2016 3:15:00 PM,0
ms_p4:sensor:, 4/1/2016 3:38:06 PM,255
ms_p4:sensor:, 4/1/2016 3:38:08 PM,0
ms_p4:sensor:, 4/1/2016 3:38:25 PM,255
ms_p4:sensor:, 4/1/2016 3:38:27 PM,0
ms_p4:sensor:, 4/1/2016 3:38:41 PM,255
ms_p4:sensor:, 4/1/2016 3:38:44 PM,0
ms_p4:sensor:, 4/1/2016 4:08:35 PM,255
ms_p4:sensor:, 4/1/2016 4:08:37 PM,0
ms_p4:sensor:, 4/1/2016 4:09:12 PM,255
ms_p4:sensor:, 4/1/2016 4:09:15 PM,0
ms_p4:sensor:, 4/1/2016 4:13:11 PM,255
ms_p4:sensor:, 4/1/2016 4:13:14 PM,0
ms_p4:sensor:, 4/1/2016 4:23:08 PM,255
ms_p4:sensor:, 4/1/2016 4:23:10 PM,0
ms_p4:sensor:, 4/1/2016 4:24:19 PM,255
ms_p4:sensor:, 4/1/2016 4:24:21 PM,0
ms_p4:sensor:, 4/1/2016 4:25:48 PM,255
ms_p4:sensor:, 4/1/2016 4:25:50 PM,0
ms_p4:sensor:, 4/1/2016 4:26:12 PM,255
ms_p4:sensor:, 4/1/2016 4:26:28 PM,0
ms_p4:sensor:, 4/1/2016 4:27:43 PM,255
ms_p4:sensor:, 4/1/2016 4:27:45 PM,0
ms_p4:sensor:, 4/1/2016 4:29:41 PM,255
ms_p4:sensor:, 4/1/2016 4:29:43 PM,0
ms_p4:sensor:, 4/1/2016 4:30:04 PM,255
ms_p4:sensor:, 4/1/2016 5:17:03 PM,0
ms_p4:sensor:, 4/1/2016 5:32:52 PM,255
ms_p4:sensor:, 4/1/2016 5:32:54 PM,0
ms_p4:sensor:, 4/1/2016 5:39:54 PM,255
ms_p4:sensor:, 4/1/2016 5:39:56 PM,0
ms_p4:sensor:, 4/1/2016 5:43:29 PM,255
ms_p4:sensor:, 4/1/2016 5:43:31 PM,0
ms_p4:sensor:, 4/1/2016 5:56:35 PM,255
ms_p4:sensor:, 4/1/2016 5:56:37 PM,0
ms_p4:sensor:, 4/1/2016 5:57:24 PM,255
ms_p4:sensor:, 4/1/2016 5:59:45 PM,0
ms_p4:sensor:, 4/1/2016 6:00:42 PM,255
ms_p4:sensor:, 4/1/2016 6:00:44 PM,0
ms_p4:sensor:, 4/1/2016 6:02:09 PM,255
ms_p4:sensor:, 4/1/2016 6:02:11 PM,0
ms_p4:sensor:, 4/1/2016 6:03:43 PM,255
ms_p4:sensor:, 4/1/2016 6:03:45 PM,0
ms_p4:sensor:, 4/1/2016 6:10:37 PM,255
ms_p4:sensor:, 4/1/2016 6:10:39 PM,0
ms_p4:sensor:, 4/1/2016 6:11:16 PM,255
ms_p4:sensor:, 4/1/2016 6:11:18 PM,0
ms_p4:sensor:, 4/1/2016 6:11:51 PM,255
ms_p4:sensor:, 4/1/2016 6:11:52 PM,0
ms_p4:sensor:, 4/1/2016 6:12:20 PM,255
ms_p4:sensor:, 4/1/2016 6:12:22 PM,0
ms_p4:sensor:, 4/1/2016 6:12:33 PM,255
ms_p4:sensor:, 4/1/2016 6:12:35 PM,0
ms_p4:sensor:, 4/1/2016 6:13:01 PM,255
ms_p4:sensor:, 4/1/2016 6:13:03 PM,0
ms_p4:sensor:, 4/1/2016 6:14:10 PM,255
ms_p4:sensor:, 4/1/2016 6:14:11 PM,0
ms_p4:sensor:, 4/1/2016 6:14:26 PM,255
ms_p4:sensor:, 4/1/2016 6:14:28 PM,0
ms_p4:sensor:, 4/1/2016 6:14:54 PM,255
ms_p4:sensor:, 4/1/2016 6:14:56 PM,0
ms_p4:sensor:, 4/1/2016 6:56:33 PM,255
ms_p4:sensor:, 4/1/2016 6:56:36 PM,0
ms_p4:sensor:, 4/1/2016 7:02:34 PM,255
ms_p4:sensor:, 4/1/2016 7:02:36 PM,0
ms_p4:sensor:, 4/1/2016 7:03:56 PM,255
ms_p4:sensor:, 4/1/2016 7:03:58 PM,0
ms_p4:sensor:, 4/1/2016 7:12:10 PM,255
ms_p4:sensor:, 4/1/2016 7:12:11 PM,0
ms_p4:sensor:, 4/1/2016 7:12:34 PM,255
ms_p4:sensor:, 4/1/2016 7:12:36 PM,0
ms_p4:sensor:, 4/1/2016 7:15:41 PM,255
ms_p4:sensor:, 4/1/2016 7:15:43 PM,0
ms_p4:sensor:, 4/1/2016 7:18:52 PM,255
ms_p4:sensor:, 4/1/2016 7:18:54 PM,0
ms_p4:sensor:, 4/1/2016 7:30:57 PM,255
ms_p4:sensor:, 4/1/2016 7:30:59 PM,0
ms_p4:sensor:, 4/1/2016 7:31:11 PM,255
ms_p4:sensor:, 4/1/2016 7:31:13 PM,0
ms_p4:sensor:, 4/1/2016 7:31:54 PM,255
